UTC_START,UTC_MIDDLE,UTC_END,SUN-TARGET_RANGE[km],TARGET-S/C_RANGE[km],PHASE_ANGLE[deg],ANGULAR_DIAMETER[deg],SUB-S/C_POINT_LON[deg],SUB-S/C_POINT_LAT[deg]
06:02:16.69,06:02:22.03,06:02:27.37,1.50306138e+08,2.00298929e+01,19.416,2.473960,42.357,36.992
06:02:27.38,06:02:32.72,06:02:38.06,1.50306176e+08,2.00297909e+01,19.416,2.473972,42.217,36.992
06:02:38.09,06:02:43.43,06:02:48.77,1.50306214e+08,2.00296887e+01,19.416,2.473985,42.077,36.992
06:02:48.78,06:02:54.12,06:02:59.46,1.50306252e+08,2.00295867e+01,19.416,2.473998,41.937,36.992
06:02:59.44,06:03:04.78,06:03:10.12,1.50306289e+08,2.00294850e+01,19.417,2.474010,41.797,36.992
06:03:10.13,06:03:15.47,06:03:20.81,1.50306327e+08,2.00293830e+01,19.417,2.474023,41.657,36.992
06:03:20.81,06:03:26.15,06:03:31.49,1.50306365e+08,2.00292809e+01,19.417,2.474035,41.517,36.992
06:03:31.50,06:03:36.84,06:03:42.18,1.50306403e+08,2.00291788e+01,19.417,2.474048,41.377,36.992
06:03:42.16,06:03:47.50,06:03:52.84,1.50306441e+08,2.00290770e+01,19.418,2.474061,41.238,36.992
06:03:52.84,06:03:58.18,06:04:03.52,1.50306479e+08,2.00289749e+01,19.418,2.474073,41.098,36.992
06:04:03.50,06:04:08.84,06:04:14.18,1.50306517e+08,2.00288731e+01,19.418,2.474086,40.958,36.992
06:04:14.19,06:04:19.53,06:04:24.87,1.50306555e+08,2.00287709e+01,19.418,2.474098,40.818,36.992
06:04:24.84,06:04:30.18,06:04:35.52,1.50306593e+08,2.00286690e+01,19.419,2.474111,40.679,36.992
06:04:35.53,06:04:40.87,06:04:46.21,1.50306631e+08,2.00285668e+01,19.419,2.474124,40.539,36.992
06:04:46.22,06:04:51.56,06:04:56.90,1.50306669e+08,2.00284645e+01,19.419,2.474136,40.399,36.992
06:04:56.91,06:05:02.25,06:05:07.59,1.50306707e+08,2.00283623e+01,19.419,2.474149,40.259,36.992
06:05:07.56,06:05:12.90,06:05:18.24,1.50306744e+08,2.00282603e+01,19.419,2.474161,40.120,36.992
06:05:18.25,06:05:23.59,06:05:28.93,1.50306782e+08,2.00281580e+01,19.420,2.474174,39.980,36.992
06:05:28.97,06:05:34.31,06:05:39.65,1.50306820e+08,2.00280554e+01,19.420,2.474187,39.839,36.992
06:05:39.66,06:05:45.00,06:05:50.34,1.50306858e+08,2.00279529e+01,19.420,2.474199,39.699,36.992
06:05:50.31,06:05:55.65,06:06:00.99,1.50306896e+08,2.00278509e+01,19.420,2.474212,39.560,36.992
06:06:01.00,06:06:06.34,06:06:11.68,1.50306934e+08,2.00277485e+01,19.421,2.474225,39.420,36.992
06:06:11.66,06:06:17.00,06:06:22.34,1.50306972e+08,2.00276463e+01,19.421,2.474237,39.281,36.992
06:06:22.37,06:06:27.71,06:06:33.05,1.50307010e+08,2.00275437e+01,19.421,2.474250,39.140,36.992
06:06:33.03,06:06:38.37,06:06:43.71,1.50307048e+08,2.00274415e+01,19.421,2.474262,39.001,36.992
06:06:43.72,06:06:49.06,06:06:54.40,1.50307086e+08,2.00273389e+01,19.422,2.474275,38.861,36.992
